"pid","title","series","collection","order","layout","permalink","object_ids"
"rome-1606-1611-elements","Rome 1606-1611 Elements","Rome 1606-1611 Elements","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/rome-1606-1611-elements/","2904|2911|2918|2937"
"the-seasons","The Seasons","The Seasons","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/the-seasons/","2907|2926|2928|2938"
"1601-1611-elements","1601-1611 Elements","1601-1611 Elements","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/1601-1611-elements/","2915|3792|3795|3797"
"1608-1621-elements","1608-1621 Elements","1608-1621 Elements","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/1608-1621-elements/","2919|2936|3089|3924"
"five-senses-pendants","Five Senses Pendants","Five Senses Pendants","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/five-senses-pendants/","2924|2929"
"infanta-isabella-and-archduke-albert","Infanta Isabella and Archduke Albert","Infanta Isabella and Archduke Albert","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/infanta-isabella-and-archduke-albert/","2951|3287"
"allegories-of-the-seasons","Allegories of the Seasons","Allegories of the Seasons","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/allegories-of-the-seasons/","3048|3487|3528|3627"
"madrid-village-scenes","Madrid Village Scenes","Madrid Village Scenes","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/madrid-village-scenes/","3255|3357"
"madrid-peasant-scenes","Madrid Peasant Scenes","Madrid Peasant Scenes","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/madrid-peasant-scenes/","3430|3434"
"madrid-peasant-weddings","Madrid Peasant Weddings","Madrid Peasant Weddings","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/madrid-peasant-weddings/","3433|3734"
"lyon-1606-1611-elements","Lyon 1606-1611 Elements","Lyon 1606-1611 Elements","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/lyon-1606-1611-elements/","3793|3794|3796|3798"
"the-five-senses","The Five Senses","The Five Senses","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/the-five-senses/","3858|3859|3860|3861|3862"
"hollstein-651-654","Hollstein 651-654","Hollstein 651-654","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/hollstein-651-654/","9564|9565|9566"
"rosenborg","Rosenborg","Rosenborg","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/rosenborg/","10197|10198|10203"
"night-lake","Night Lake","Night Lake","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/night-lake/","10215|10216"
"grotto","Grotto","Grotto","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/grotto/","10223|10224|10225|10226"
"proverbs-series","Proverbs Series","Proverbs Series","series_janbrueghel",,"seriespage_janbrueghel","/janbrueghel/series/proverbs-series/",18481
